"rownum","item_code","item","level","advise"
"11","M2","Reviso mis niveles de motivación: Evalúo mis niveles de motivación respecto a un curso o una tarea académica, genero alertas y tomo acciones de ser necesarias.","C1","Según este resultado, al parecer evalúas tus motivaciones respecto a un curso, pero no generas alertas ni acciones vinculadas con tus motivaciones. Al respecto te sugerimos lo siguiente:
       1. Dedica cierto tiempo (10 a 15 minutos por semana) para identificar tus emociones respecto a las actividades en las que estés involucrado, sin juzgarlas. Es decir, no se trata de que valores si tus motivaciones son positivas o negativas; te proponemos, en cambio, que puedas identificar con transparencia hacia ti misma(o) qué sientes respecto a las clases y otras actividades de tu vida universitaria. 
       2. Una vez que has identificado tus motivaciones, relaciónalas con los objetivos que quieres alcanzar. Es decir, verifica si hay motivaciones que te hacen más amable la consecución de tus objetivos, o si hay motivaciones que te hacen más pesada o dificultosa la consecución de estos. 
       3. Una vez que tienes identificados estos elementos, ¿qué necesitarías para mantener las motivaciones que te hacen la consecución de tus objetivos más amable? ¿Qué podrías o necesitarías hacer para que las motivaciones que te hacen más pesada la consecución de tus objetivos puedan ser más llevaderas o cómodas para ti? 
       4. Una vez respondas estas dos preguntas, piensa en dos acciones concretas que puedas realizar a corto plazo y dos que puedas realizar a mediano plazo. "
"12","M3","Comunico mi evaluación de motivaciones: Comparto con mis profesores la evolución de mis motivaciones respecto a la(s) asignatura(s).","C1","De acuerdo con este resultado, parece ser que no has compartido con tus profesores la evolución de tus niveles de motivación. Esta interacción con los profesores es de vital importancia y te invitamos a que la tengas en cuenta. 
Resultaría, entonces, conveniente que exploraras cuáles fueron las razones por las que no decidiste compartir esta evolución. Puede ser que no sientas confianza con tu profesor o profesora, o porque sencillamente no tienes el insumo para poder pensar en la evolución de la motivación. Sea cual sea la razón te invitamos a evaluar tus niveles de motivación, pensar en su evolución y compartirla con quienes te rodean y están, de alguna manera, involucrados en tus procesos de enseñanza y aprendizaje."
"13","A1","Programo de manera eficiente las sesiones de trabajo individual: Administro todos los recursos necesarios para mis sesiones de trabajo individual concentrado (horarios de trabajo y horarios de descanso, valoración para la distribución de distintos tiempos para distintas tareas, materiales, etc.)","C1","Este resultado parece indicar que tienes algunas ideas respecto a la planeación de tus sesiones de trabajo individual, pero no logras concretarlas. Al respecto, te sugerimos lo siguiente: 

   1. Considera la importancia de que tengas sesiones de trabajo individual específicas y concretas. Con específicas nos referimos a que tengas un horario, semanal o mensual, en el que fijes esas sesiones de trabajo. Busca que esas sesiones no interfieran con otros compromisos. También es importante que, una vez fijes esas sesiones, te dediques exclusivamente al trabajo que has establecido para ellas. En este sentido, es muy importante que puedas manejar las distracciones y combines tiempos de descanso y tiempos de trabajo. 
    2. También es importante ir adquiriendo el hábito de tener estas sesiones de trabajo individual; estas sesiones te ayudan a planear y ejecutar tareas que te permitirán cumplir con tus compromisos académicos. Además, te darán la tranquilidad de tener tiempos libres sin preocupaciones respecto a los compromisos que podrías haber olvidado. 
   3. Es muy pertinente que puedas tener conciencia de que estas sesiones de trabajo individual son un elemento importante para concretar tus objetivos académicos o de cualquier otro tipo. En este sentido, es muy valioso que puedas trabajar sin supervisión debido a que tendrás que abordar tareas o proyectos individuales y te resultará muy útil saber cómo trabajar individualmente. "
"14","A3","Reacciono ante las distracciones: Tomo acciones de mejora para retomar mi centro de atención en el trabajo individual, cuando identifico posibles distracciones.","C1","Es posible que identifiques que, en efecto, te distraes, pero no estás tomando ninguna acción al respecto. Frente a esto, te proponemos:
1. Revisa de nuevo los distractores emergentes y trata de agruparlos, en caso de encontrar similitudes. Estas nuevas agrupaciones podrán brindarte información adicional sobre la razón por la que los distractores aparecen.
2. Teniendo en cuenta las asociaciones y descripciones del punto anterior, genera estrategias que te permitan encarar los distractores. Pregúntate, por ejemplo, ¿en qué contexto están apareciendo los distractores?, ¿cómo volver el distractor una oportunidad de mejora?
"
"15","A5","Creo planes de acción: Establezco planes de acción a corto y mediano plazo, que son pertinentes para cumplir con la mayoría de mis responsabilidades.","C1","Este resultado parece indicar que comprendes que establecer planes de acción podría ser útil para abordar tus compromisos académicos, pero no has logrado crear un plan de acción que sea efectivo. Al respecto, te sugerimos:
    1. Establece un objetivo que quieras concretar, por ejemplo, aprobar determinada asignatura. Después, escribe por lo menos 3 razones por las que ese objetivo es importante para ti. De esta forma, podrás identificar qué motivación tienes respecto al objetivo y tendrás conciencia de la forma en la que estás emocionalmente vinculado con aquello que deseas concretar. 
    2. Una vez tengas este objetivo, piensa en por lo menos 3 acciones concretas que tendrías que realizar para conseguir ese objetivo. Por ejemplo, si tu objetivo es aprobar una asignatura, 3 acciones concretas serían: asistir puntualmente a las clases; preparar las lecturas previas a cada clase; y tomar apuntes concretos y útiles para el repaso posterior. 
    3. Convierte estas acciones en una secuencia de bloques de trabajo que puedas seguir a lo largo de 5 días. Al final de este periodo, revisa cómo te sentiste con este plan de acción; también sería importante que recuerdes algún otro momento en el que hiciste un plan de acción y no lo seguiste. Compara esa experiencia anterior con esta e identifica qué mejoras tuviste en la ejecución en esta ocasión. De esta forma, podrás notar que puedes ir construyendo aprendizajes sobre tu propia experiencia. "
"16","A12","Consulto a mi cuerpo para tomar decisiones: Estudio cuando me encuentro en condiciones físicas óptimas (tengo buen estado de salud general, estoy fresco, me siento bien, etc.) y además tengo prácticas saludables de sueño y nutrición.","C1","Parece ser que consideras que consultar al cuerpo no es importante. Ante esto, ten en cuenta que tu cuerpo es el medio que te permite interactuar con el mundo y, por tal razón, es muy importante que ese medio se esté desempeñando de la manera más óptima. 
Centrándonos en tu proceso de aprendizaje, consultar al cuerpo es de vital importancia, pues tus niveles de concentración, creación y ejecución serán óptimos si el cuerpo está satisfecho, descansado y bien alimentado. Te recomendamos que reconsideres el cuidado del cuerpo.Recuerda el dicho popular: ""mente sana en cuerpo sano""."
"17","A13","Programo de manera eficiente las sesiones de trabajo grupal: Administro todos los recursos necesarios para mis sesiones de trabajo grupal (horarios de trabajo y horarios de descanso, valoración para la distribución de distintos tiempos para distintas tareas, materiales, resultados, apoyo de otros, etc.).","C1","Este resultado parece indicar tienes que algunas ideas respecto a la planeación de tus sesiones de trabajo grupal, pero no logras concretarlas. Al respecto, te sugerimos lo siguiente: 

   1. Considera la importancia de que tengas sesiones de trabajo grupal específicas y concretas. Con específicas nos referimos a que tú y tu grupo tengan un horario semanal o mensual  en el que fijen esas sesiones de trabajo. Busca que esas sesiones no interfieran con otros compromisos que tengan. También es importante que, una vez fijen esas sesiones, te dediques exclusivamente al trabajo que han establecido. En este sentido, es muy importante que puedas manejar las distracciones y combines tiempos de descanso y tiempos de trabajo. 
    2. También es importante que tengas en cuenta que es importante que vayas adquiriendo el hábito de tener estas sesiones de trabajo grupal; estas sesiones te ayudan a planear y ejecutar tareas que te permitirán cumplir con tus compromisos académicos. Además, te darán la tranquilidad de tener tiempos libres sin preocupaciones respecto a los compromisos que podrías haber olvidado. 
   3. Es muy pertinente que puedas tener conciencia de que estas sesiones de trabajo grupal son un elemento importante para concretar tus objetivos académicos o de cualquier otro tipo. En este sentido, es muy valioso que puedas trabajar sin supervisión, debido a que tendrás que abordar tareas o proyectos grupales y te resultará muy útil saber cómo trabajar grupalmente. "
"18","C1","Soy un estudiante efectivo:  Me considero un estudiante efectivo, teniendo en cuenta que implemento estrategias cognitivas y sociales útiles y pertinentes para mis procesos de repaso, toma de apuntes y  argumentación en mis clases, en el marco de mis propios objetivos de aprendizaje. ","C1","Este resultado parece indicar que conoces al menos una estrategia y que no logras implementarla. Valdría la pena que valores esta situación a la luz de las siguientes preguntas y comentarios: 
a. Tal vez has implementado una estrategia que fue efectiva para otra persona, pero para ti no. Escoge una estrategia que quieras implementar (por ejemplo, tener sesiones de trabajo de 40 minutos y descansos de 10 minutos; hacer una planeación de tu semana; identificar tus momentos del día más productivos), y llévala a cabo durante 10 días. Evalúa al término de este periodo si esta estrategia fue efectiva o no; si estableces que sí fue efectiva, podrías considerar opciones para mejorarla. Si encuentras que no fue efectiva, identifica qué quieres mejorar y luego sí establece una estrategia que aborde apropiadamente este objetivo. 
b. Considera el fin último de implementar esta estrategia que podría resultar útil; por ejemplo, si logras mejorar tus estrategias de manejo del tiempo, podrás estar tranquilo(a) respecto a tus compromisos académicos y tener al menos una hora más a la semana para cualquier otra actividad.


"
"19","C2","Reflexiono sobre mi aprendizaje: Hago procesos de reflexión y evaluación de mis estrategias de aprendizaje (recopilando la mayor cantidad de información disponible), para establecer su nivel de efectividad; de esta forma, puedo identificar qué estrategias sigo implementando, cuáles estrategias deben ser cambiadas e identifico cuáles estrategias necesito aprender","C1","Este resultado parece indicar que conoces al menos  una forma de hacer reflexiones y evaluaciones sobre  tu aprendizaje y no logras implementarla. Valdría la pena considerar que es importante destinar algo de  tiempo (puede ser unos minutos diarios o semanales  o mensuales) para que contrastes tus objetivos con tus prácticas cotidianas; de esta forma, podrás  establecer qué cambios quieres o puedes hacer  para mejorar las áreas que hayas decidido mejorar. 
También te sugerimos que te formules las siguientes preguntas:
1. ¿De qué formas puedo establecer la efectividad de mis estrategias (por ejemplo, evalúo si pude cumplir o no todos mis compromisos, si pude cumplir con unas condiciones de calidad para las entregas de la universidad, si pude hacer franjas de preparación de talleres o exámenes fuera de la clase, etc.)?
2. Considera una situación ocurrida la semana anterior en la que te hayas sentido muy satisfecho con los resultados que obtuviste en tu desempeño académico; valdría la pena que respondas estas preguntas:
       a. ¿Qué consideras que fue efectivo?
       b. ¿Crees que podrías continuar implementando esa estrategia efectiva? 
       c. ¿Recibiste retroalimentación de otras personas que te ayudara a valorar la efectividad de tu trabajo?
        d. ¿Qué sentiste cuando recibiste retroalimentación positiva?
3. Considera una situación ocurrida la semana anterior en la que te hayas sentido profundamente insatisfecho con los resultados que obtuviste en tu desempeño académico; valdría la pena que respondas estas preguntas: 
       a. ¿Qué factores generar ese resultado poco satisfactorio?
       b. ¿Qué podrías hacer para que el resultado sea mejor en una siguiente oportunidad? 
       c. ¿Recibiste retroalimentación de otras personas que te ayudara a valorar la efectividad de tu trabajo?
        d. ¿Qué sentiste cuando recibiste retroalimentación? ¿Esos comentarios resultaron útiles para ti?"
"20","C3","Soy consciente de cuándo un aprendizaje es fácil o difícil: Tengo criterios claros para establecer si un proceso de aprendizaje me resulta fácil o implica un nivel alto de complejidad, con lo que tomo una decisión sobre uso de estrategias cognitivas y sociales de aprendizaje","C1","Aunque reconoces que puede haber distintos niveles de dificultad (o facilidad) en los procesos de enseñanza y aprendizaje, parece que no estás adaptando las acciones a esta escala. Esta adaptación es necesaria pues regula de una manera eficiente los esfuerzos que pones para aprender nuevos saberes y competencias. Te recomendamos que tomes acciones reales que se hagan corresponder con los distintos niveles de dificultad que reconociste, por ejemplo, si percibes que un aprendizaje es difícil, identifica los obstáculos, los nuevos aprendizajes que necesitas adquirir y las herramientas que facililitarían la mejor comprensión."
"21","M2","Reviso mis niveles de motivación: Evalúo mis niveles de motivación respecto a un curso o una tarea académica, genero alertas y tomo acciones de ser necesarias.","C2","De acuerdo con este resultado, al parecer sí evalúas tus
 motivaciones, pero no logras tomar acciones concretas para mejorar tus niveles de motivaciones. Frente a esto, te sugerimos lo siguiente:
    1. Considera una situación anterior en la que hayas experimentado bajos niveles de motivación respecto a una clase o una tarea académica y responde las siguientes preguntas:
       a). ¿Pudiste identificar el origen de esos bajos niveles de motivación?
       b). ¿Pudiste identificar cómo manifestaste esos bajos niveles de motivación?
       c). ¿Qué factor o factores hicieron que no tomaras la decisión de emprender acciones para mejorar tus niveles de motivación? 
      2. Si tienes bajos niveles de motivación en este momento respecto a una clase o una tarea, responde las preguntas que te proponemos en el punto 1 (el anterior). Luego, piensa en al menos dos acciones que podrías emprender a corto plazo (la próxima semana o las próximas dos semanas). Una vez hayas escogido estas acciones, reflexiona sobre qué recursos necesitas (humanos y físicos) para llevarlas a cabo. Después, lánzate con ánimo a realizar las dos acciones que has escogido y escribe un corto texto en el que reflexiones sobre cómo te sentiste después de emprender estas acciones. "
"22","M3","Comunico mi evaluación de motivaciones: Comparto con mis profesores la evolución de mis motivaciones respecto a la(s) asignatura(s).","C2","De acuerdo con este resultado, al parecer sí llevas a cabo un 
proceso de evaluación de tus motivaciones, aunque has decidido conscientemente no comunicarla a algún(a) profesor(a) o alguna otra persona. En este sentido, te proponemos lo siguiente:
     1. Sería valioso que puedas ser consciente de que comunicar tus motivaciones (sean éstas positivas o no) puede ofrecerte opciones de aprendizaje de las experiencias y posturas de otras personas. Por otra parte, el solo hecho de que verbalices para comunicar a otro cómo te sientes puede darte nuevas luces para abordar tus motivaciones. 
      2. Escoge un(a) profesor(a) con el que te sientas en confianza y manifiéstale tus motivaciones positivas respecto al curso. Escucha sus comentarios. Luego, si es el caso, podrías manifestarle a este(a) mismo(a) profesor(a) que no tienes niveles de motivación alto respecto a un aspecto particular del curso; una vez le presentes la situación, podrías mencionarle que decidiste conversar con él (ella) para conocer su opinión y buscar juntos alguna opción que pueda mejorar tus niveles de motivación. 
       3. Después de estas dos situaciones, escribe un breve texto en el que puedas comparar cómo te sentiste en cada una de ellas, qué consideras acertado en la forma en la que propusiste la conversación y qué aspectos podrías mejorar para una próxima oportunidad. "
"23","A1","Programo de manera eficiente las sesiones de trabajo individual: Administro todos los recursos necesarios para mis sesiones de trabajo individual concentrado (horarios de trabajo y horarios de descanso, valoración para la distribución de distintos tiempos para distintas tareas, materiales, etc.)","C2","Este resultado parece indicar que tienes algunas
 ideas respecto a la programación de sesiones de trabajo individual y que tal vez has seguido alguna planeación que hayas hecho en tu experiencia previa. Sin embargo, parece que percibes que esta planeación no ha sido acertada o pertinente. Frente a esto, te recomendamos lo siguiente:
   1. Considera una situación en concreto en la que hayas hecho una planeación de tus sesiones de trabajo individual, la hayas seguido y no hayas conseguido los resultados que querías. Sería valioso que respecto a esta situación te puedas responder las siguientes preguntas:
        a). ¿Cuáles fueron los factores más relevantes que tuviste en cuenta para hacer esta planeación? 
        b). ¿Qué porcentaje de la planeación de tus sesiones de trabajo individual pudiste cumplir? Si el porcentaje es bajo, ¿a qué crees que se debió? Si el porcentaje es alto, ¿aún consideras que la planeación no fue acertada?
        c). En esa planeación, ¿consideraste resultados concretos para el final de la sesión? 
   2. Otras preguntas que sería valioso formularte para valorar esta situación son:
       a). En otras planeaciones, ¿has logrado dividir tareas grandes en tareas más pequeñas para abordarlas en tus sesiones de trabajo individual? La estrategia de dividir tareas grandes en tareas más pequeñas que puedas concretar en tus sesiones de trabajo individual puede ser efectiva para que avances en tus procesos y que te sientas en buen dominio de las tareas que estás desarrollando.
       b). ¿Desarrollaste tus sesiones de trabajo individual bajo condiciones apropiadas? 
       c). En planeaciones pasadas, ¿tuviste en cuenta otros objetivos o compromisos ya adquiridos? 
       d). En otras sesiones de trabajo individual, ¿has logrado preparar las condiciones, para luego concentrarte en las tareas por desarrollar, y finalizar con una evaluación de tu desempeño durante la sesión? Si aún no lo haces, esta puede ser una buena forma de tener sesiones de trabajo individual eficientes: primero, te aseguras de que todas las condiciones están dadas; segundo, te concentras en las tareas; por último, escribes un pequeño párrafo para valorar cómo te sentiste durante la sesión, en qué fuiste eficiente y en qué podrías mejorar para otra sesión de trabajo individual. 
     "
"24","A3","Reacciono ante las distracciones: Tomo acciones de mejora para retomar mi centro de atención en el trabajo individual, cuando identifico posibles distracciones.","C2","Este resultado parece indicar que has identificado 
qué distracciones tienes y tal vez has identificado 
algunas causas de ellas. Además, al parecer has intentado implementar estrategias efectivas para eliminar estas distracciones, pero estas estrategias no han sido efectivas. Te recomendamos lo siguiente: 
   1. Antes de que inicies cualquier actividad académica, verifica que hayas descansado bien, que te hayas alimentado bien y que estés bien hidratado. Estas tres condiciones son básicas para que puedas concentrarte apropiadamente. Muy probablemente, si has resuelto estos asuntos antes de iniciar tu sesión de trabajo, podrás concentrarte con mayor facilidad.  
2. Identifica en qué espacios o bajo qué condiciones logras tener tu atención concentrada de 15 a 25 minutos. 
3. Establece un objetivo y una tarea específicos que abordarás durante cada sesión de trabajo. De esta forma, tu atención tendrá un propósito y tendrás más posibilidades de mantenerte enfocado en él. 
4. Cuando termines tu sesión de trabajo concentrado, escribe un breve párrafo que te permita valorar qué condiciones te sirvieron (y cuáles no), cómo te sentiste durante la sesión y cuánto tiempo lograste mantenerte concentrado. "
"25","A5","Creo planes de acción: Establezco planes de acción a corto y mediano plazo, que son pertinentes para cumplir con la mayoría de mis responsabilidades.","C2","Este resultado parece indicar que ya has tenido experiencia haciendo planes de acción, pero al parecer no te han resultado útiles o tal vez sientes que no es necesario hacerlos. Frente a esto te recomendamos: 
1. Recuerda una experiencia en la que hayas formulado planes de acción y no hayan funcionado; busca responder las siguientes preguntas: 
    a). ¿Ese plan de acción estableció plazos prudentes para el desarrollo de tareas?
   b). ¿En ese plan de acción pudiste desintegrar un objetivo en pequeñas tareas? 
   c). ¿En ese plan de acción incluiste tareas medibles, realistas y específicas? 
  2. Una vez que tengas esta información, tendrás elementos para descubrir qué podrías mejorar la próxima vez que establezcas planes de acción. Sería valioso que diseñes un plan de acción, lo sigas por (al menos) una semana y luego evalúes qué resultados obtuviste y cómo te sentiste en el proceso. "
